GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.gmp.auth.test,AuthSystemTestExecutor.TestExecutorStatus,27,0,0,0,10,0,5,0,5,0
auth-service,com.gmp.auth.test,AuthTestErrorHandler.TestExecutionException,25,0,0,0,10,0,4,0,4,0
auth-service,com.gmp.auth.test,AuthSystemTestExecutor.TestMethodInfo,15,0,0,0,6,0,3,0,3,0
auth-service,com.gmp.auth.test,AuthTestErrorHandler.TestStatus,62,0,4,0,18,0,15,0,13,0
auth-service,com.gmp.auth.test,AuthSystemCommandLineRunner,135,0,4,0,37,0,7,0,5,0
auth-service,com.gmp.auth.interceptor,SubsystemAccessInterceptor,106,221,21,21,17,43,16,13,1,7
auth-service,com.gmp.auth.config,JwtConfig,45,308,1,11,14,77,1,23,0,18
auth-service,com.gmp.auth.config,SecurityConfig,0,128,0,0,0,22,0,8,0,8
auth-service,com.gmp.auth.config,AuthSystemConfig,0,3,0,0,0,1,0,1,0,1
auth-service,com.gmp.auth.config,AuthSystemProperties,104,69,27,3,0,4,21,5,6,5
auth-service,com.gmp.auth.config,JwtProperties,17,36,0,0,7,14,5,6,5,6
auth-service,com.gmp.auth.config,WebConfig,0,58,0,0,0,10,0,2,0,2
auth-service,com.gmp.auth.config,RedisConfig,0,34,0,0,0,10,0,2,0,2
auth-service,com.gmp.auth.config,PasswordPolicyConfig,84,39,0,0,36,13,24,1,24,1
auth-service,com.gmp.auth.config,AuthSystemProperties.Initialization,54,41,12,2,0,3,12,4,5,4
auth-service,com.gmp.auth.config,AuthSystemProperties.Jwt,153,101,41,5,0,6,31,7,8,7
auth-service,com.gmp.auth.config,RedisCacheConfig,0,44,0,0,0,17,0,2,0,2
auth-service,com.gmp.auth.model,UserPasswordHistory,206,3,38,0,11,1,33,1,14,1
auth-service,com.gmp.auth.model,CustomUserDetails,48,39,6,0,8,15,8,8,5,8
auth-service,com.gmp.auth.model,PasswordChangeRequest,155,0,30,0,4,0,26,0,11,0
auth-service,com.gmp.auth.controller,SubsystemController,364,7,0,0,83,2,16,2,16,2
auth-service,com.gmp.auth.controller,AuthController,108,159,8,4,27,34,8,10,2,10
auth-service,com.gmp.auth.controller,PasswordController,4,119,1,7,1,27,1,8,0,5
auth-service,com.gmp.auth.controller,AdminController,23,13,0,0,4,3,1,2,1,2
auth-service,com.gmp.auth.service,PasswordPolicyService,125,19,24,0,30,6,20,2,8,2
auth-service,com.gmp.auth.service,MfaService,0,101,0,10,0,23,0,15,0,10
auth-service,com.gmp.auth.service,MfaSessionManager.MfaSession,3,45,0,2,1,14,1,8,1,7
auth-service,com.gmp.auth.service,TotpUtils,49,188,4,10,7,32,6,12,2,9
auth-service,com.gmp.auth.service,MfaSessionManager,10,76,2,8,3,21,2,10,0,7
auth-service,com.gmp.auth.service.impl,UserOrganizationRoleServiceImpl,905,39,87,5,199,12,70,6,24,6
auth-service,com.gmp.auth.service.impl,UserRoleServiceImpl,8,81,2,2,3,20,1,11,0,10
auth-service,com.gmp.auth.service.impl,SimpleUserDetailsService,13,49,4,4,1,11,5,2,1,2
auth-service,com.gmp.auth.service.impl,UserPasswordHistoryServiceImpl,0,32,0,0,0,10,0,7,0,7
auth-service,com.gmp.auth.service.impl,SubsystemServiceImpl,0,96,0,0,0,28,0,23,0,23
auth-service,com.gmp.auth.service.impl,AuthServiceImpl,718,1273,123,101,145,281,113,51,19,33
auth-service,com.gmp.auth.service.impl,RolePermissionServiceImpl,8,116,2,2,3,27,1,14,0,13
auth-service,com.gmp.auth.service.impl,AuditLogServiceImpl,634,67,32,0,167,12,36,5,20,5
auth-service,com.gmp.auth.service.impl,TokenBlacklistServiceImpl,0,104,0,10,0,31,0,12,0,7
auth-service,com.gmp.auth.util,JwtUtil,172,310,9,11,51,77,10,25,1,24
auth-service,com.gmp.auth.util,JwtTokenProvider,0,60,0,16,0,13,0,17,0,9
auth-service,com.gmp.auth.util,TotpUtils,19,0,4,0,4,0,6,0,4,0
